,id,dist,task
235,38576,18.413631779934207,14
236,38580,18.403965753311667,14
237,38581,18.39918882825252,14
238,38583,18.393844024452537,14
239,38584,18.375761056863873,14
240,38586,18.36974596979189,14
241,38587,18.352566198103954,14
242,38592,18.336695125130344,14
243,38594,18.317929669759295,14
244,38596,18.302152932442464,14
245,38598,18.277346767962914,14
246,38600,18.251183845128978,14
247,38601,18.246823461464416,14
248,38602,18.236571538387622,14
249,38603,18.228674671825782,14
250,38605,18.214539430719483,14
251,38607,18.203180240024096,14
252,38610,18.19698338007193,14
253,38612,18.184366014724002,14
254,38613,18.169771800242533,14
255,38616,18.161493703047316,15
256,38617,18.155676453115717,15
257,38618,18.138779834236928,15
258,38620,18.127207711442786,15
259,38622,18.119781397009735,15
260,38623,18.109745513158302,15
261,38625,18.100714307801727,15
262,38626,18.093354918285538,15
263,38627,18.08511948755851,15
264,38628,18.071337540497797,15
265,38629,18.063246500360314,15
266,38631,18.055830107559785,15
267,38634,18.04431693321939,15
268,38639,18.032357285337962,15
269,38642,18.02221648152932,15
270,38643,18.016405859451925,15
271,38645,18.00616789369454,15
272,38646,17.999547695508618,15
273,38647,17.992478268049904,15
274,38654,17.98208024931827,15
275,38656,17.997105493624662,16
276,38659,17.914029147651995,16
277,38664,17.937262163383732,16
278,38665,18.07282156477522,16
279,38666,18.113694240178546,16
280,38667,18.187572804500384,16
281,38668,18.183876108940634,16
282,38669,18.182384304286373,16
283,38671,18.137838025721237,17
284,38673,18.122082709684573,17
285,38674,18.089909443725745,17
286,38678,18.080859214666848,17
287,38679,18.06072157930565,17
288,38680,18.0455341268441,17
289,38682,18.041457525029166,17
290,38683,18.037412198627724,17
291,38684,18.033719133711003,17
292,38685,18.016681488667906,17
293,38686,17.975266153331102,17
294,38691,17.982380616012048,17
295,38693,17.97411291825272,17
296,38695,17.96306498390963,17
297,38697,17.962837215423082,17
298,38701,17.96314750153661,17
299,38702,17.95506072874494,17
300,38706,17.94743071180533,17
301,38708,17.9321827463785,17
302,38709,17.912007640287026,17
303,38717,17.94346411924397,20
304,38720,17.93877420754982,20
305,38723,17.942356365477096,20
306,38727,17.951059314051765,20
307,38728,17.959630580551885,20
308,38729,17.955157782753375,20
309,38730,17.955830193542052,20
310,38731,17.954099642128664,20
311,38732,17.949314186439235,20
312,38733,17.946360662070965,20
313,38734,17.94371707328781,20
314,38736,17.94646323888472,20
315,38737,17.938328959500673,20
316,38740,17.956570731020236,20
317,38742,17.952290098673814,20
318,38744,17.948028257383868,20
319,38745,17.94003321875937,20
320,38747,17.931813473887726,20
321,38749,17.89033348947206,20
322,38754,17.886415779200767,21
323,38755,17.88244485503775,21
324,38756,17.87888319088319,21
325,38758,17.875327366719045,21
326,38759,17.87219371209449,21
327,38761,17.86848418012938,21
328,38762,17.864945303359043,21
329,38763,17.861412210707922,21
330,38766,17.858390914145023,21
331,38769,17.85398340437109,21
332,38770,17.850968838526914,21
333,38771,17.84795659462643,21
334,38775,17.844858226272002,21
335,38779,17.84057135102124,21
336,38780,17.837568960839288,21
337,38781,17.833563098897127,21
338,38782,17.826583135794106,21
339,38788,17.824613649182176,21
340,38789,17.821626315136616,21
341,38791,17.818573296658702,21
342,38795,17.815493750703748,22
343,38796,17.810097126669366,22
344,38799,17.800381123192466,22
345,38800,17.793304840117255,22
346,38806,17.789294779332014,22
347,38814,17.785375935649647,22
348,38815,17.780685698979934,22
349,38816,17.77674371948909,22
350,38820,17.772253756260433,22
351,38821,17.765862118803295,22
352,38823,17.76061403216676,22
353,38826,17.755393608643086,22
354,38827,17.750019397244483,22
355,38828,17.74341661039838,22
356,38829,17.737280357399563,22
357,38830,17.732430433678818,22
358,38831,17.728511229757753,22
359,38832,17.722162233632297,22
360,38833,17.717622337616618,22
361,38836,17.722072730068426,23
362,38837,17.717498381912524,23
363,38838,17.71330840998542,23
364,38840,17.70877381330587,23
365,38841,17.70407504296144,23
366,38842,17.699581095713615,23
367,38843,17.69543934791635,23
368,38845,17.688011702290243,23
369,38848,17.68370697649048,23
370,38851,17.676494631860045,23
371,38855,17.673110854553773,23
372,38859,17.665165067136734,23
373,38860,17.659329550642404,23
374,38861,17.654593227147867,23
375,38862,17.650527137836782,23
376,38863,17.64678909027838,23
377,38864,17.642737245643865,23
378,38865,17.63918272870833,23
379,38867,17.631880957012253,23
380,38877,17.63614225178351,24
381,38887,17.64584245660881,24
382,38888,17.657600797683322,24
383,38889,17.643406686058768,24
384,38890,17.62584314382672,24
385,38892,17.571268016025808,24
386,38895,17.564925481718596,25
387,38896,17.556115675047714,25
388,38901,17.550995243966884,25
389,38903,17.54522402426024,25
390,38904,17.540615435519893,25
391,38910,17.534437735459566,25
392,38914,17.52931052251881,25
393,38917,17.52408144787069,25
394,38924,17.517679699943482,25
395,38925,17.511508872704894,25
396,38926,17.508525638398165,25
397,38927,17.502695900389806,25
398,38928,17.497343469020763,25
399,38930,17.49124864853838,25
400,38934,17.475271043976125,26
401,38935,17.469645680463778,26
402,38938,17.45975687392003,26
403,38940,17.45262701087944,26
404,38944,17.434247015795187,26
405,38945,17.431783597629344,26
406,38946,17.427009633449256,26
407,38949,17.422635974496362,26
408,38951,17.419111274915082,26
409,38953,17.414308606463557,26
410,38958,17.40925995903025,26
411,38959,17.405660002779378,26
412,38960,17.398264233287048,26
413,38961,17.39175706706786,26
414,38963,17.38777507562726,26
415,38964,17.38012428486881,26
416,38966,17.37326209522685,26
417,38971,17.368359041325885,26
418,38972,17.35989926309188,26
419,38973,17.353954343616127,26
420,38974,17.350657348125704,27
421,38976,17.347972246652986,27
422,38977,17.340336831828168,27
423,38978,17.332565965956203,27
424,38979,17.324958581034988,27
425,38984,17.321691194374374,27
426,38986,17.31842781498209,27
427,38987,17.317140327492435,27
428,38989,17.313883162848587,27
429,38991,17.31062998629831,27
430,38995,17.30738079052151,27
431,38998,17.299830204240042,27
432,39005,17.296592583973315,27
433,39006,17.28906348391347,27
434,39011,17.283164080273387,27
435,39014,17.276863971581914,28
436,39015,17.27100623656536,28
437,39017,17.25927207373449,28
438,39018,17.259768506985033,28
439,39019,17.24965842752453,28
440,39021,17.243337052187925,28
441,39024,17.226576392388814,28
442,39025,17.22441953107216,28
443,39026,17.220916813288685,28
444,39030,17.21399499504226,28
445,39038,17.20690369477609,28
446,39040,17.21213657400888,28
447,39041,17.205278290268502,28
448,39042,17.205882078247143,28
449,39044,17.19861558814213,28
450,39045,17.189193208115316,28
451,39046,17.184592133810522,28
452,39050,17.17800795338944,28
453,39051,17.172430311181532,28
